tool_name,review_paper_section,doi,github,gitlab,docker1,docker2,github_container,pypi,conda
BIDS Apps,2.1.1 Container-based solutions,10.1371/journal.pcbi.1005209,BIDS-Apps/example,,bids/example,,,,
Neurodocker,2.1.1 Container-based solutions,10.5281/zenodo.1058997,ReproNim/neurodocker,,repronim/neurodocker,kaczmarj/neurodocker,,neurodocker,
Neurodesk (Neurodesktop),2.1.1 Container-based solutions,10.1101/2022.12.23.521691,NeuroDesk/neurodesktop,,vnmd/neurodesktop,,NeuroDesk/neurodesktop/neurodesktop,,
Boutiques,2.1.2 Container Descriptors,10.1093/gigascience/giy016,boutiques/boutiques,,,,,boutiques,
CONP,2.1.2 Container Descriptors,10.1038/s41597-023-01946-1,CONP-PCNO/conp-portal,,,,,,
NeuroDebian,2.1.3 Integrated computational environments,10.3389/fninf.2012.00022,neurodebian/neurodebian,,library/neurodebian,,,,
NeuroFedora,2.1.3 Integrated computational environments,10.1186/s12868-020-00593-1,,,,,,,
Nipype,2.2 Workflow engines,10.3389/fninf.2011.00013,nipy/nipype,,,,,nipype,
C-PAC,2.2 Workflow engines,10.1101/2021.12.01.470790,FCP-INDI/C-PAC,,fcpindi/c-pac,bids/cpac,,cpac,
Pydpiper,2.2 Workflow engines,10.3389/fninf.2014.00067,Mouse-Imaging-Centre/pydpiper,,,,,,
AA,2.2 Workflow engines,10.3389/fninf.2014.00090,automaticanalysis/automaticanalysis,,bids/aa,,,,
Fastr,2.2 Workflow engines,10.3389/fict.2016.00015,,radiology/infrastructure/fastr,,,,fastr,
Nextflow,2.2 Workflow engines,10.1038/nbt.3820,nextflow-io/nextflow,,,,,nextflow,bioconda/nextflow
Pydra,2.2 Workflow engines,,nipype/pydra,,,,,pydra,
NeuroCI,2.3 Continuous integration,10.1109/eScience55777.2022.00025,neurodatascience/NeuroCI,,,,,,
DataLad,3 Data provenance,10.21105/joss.03262,datalad/datalad,,,,,datalad,
BABS,3 Data provenance,10.1101/2023.08.16.552472,PennLINC/babs,,,,,babs,
Verrou,4 Numerical stability,,edf-hpc/verrou,,,,,,
Verificarlo,4 Numerical stability,10.1109/ARITH.2016.31,verificarlo/verificarlo,,verificarlo/verificarlo,,,,
VIP,5 Web computing platforms,10.1109/TMI.2012.2220154,virtual-imaging-platform/VIP-portal,,,,,vip-client,
CBRAIN,5 Web computing platforms,10.3389/fninf.2014.00054,aces/cbrain,,,,,,
ChRIS,5 Web computing platforms,10.1109/EMBC.2015.7318336,FNNDSC/ChRIS_ui,,,,,,
Neuroscout,5 Web computing platforms,10.7554/eLife.79277,neuroscout/neuroscout,,,,,,
brainlife.io,5 Web computing platforms,10.48550/arXiv.2306.02183,brainlife/brainlife,,,,,,
